(, ,",2;
(, ,(,54;
(, ,-,2;
(, ,.,1;
(, ,1,68;
(, ,2,34;
(, ,3,4;
(, ,4,2;
(, ,6,3;
(, ,8,6;
(, ,9,1;
(, ,=,46;
(, ,a,289;
(, ,b,92;
(, ,c,92;
(, ,d,366;
(, ,e,120;
(, ,f,54;
(, ,g,59;
(, ,h,72;
(, ,i,131;
(, ,j,42;
(, ,k,32;
(, ,l,46;
(, ,m,72;
(, ,n,81;
(, ,o,40;
(, ,p,63;
(, ,q,1;
(, ,r,24;
(, ,s,117;
(, ,t,26;
(, ,u,66;
(, ,v,91;
(, ,w,110;
(, ,y,1;
(, ,z,24;
(, ,Á,1;
(, ,Ä,1;
(, ,ä,3;
(, ,ü,1;
(,", ,2;
(,",d,2;
(,(,1,14;
(,(,2,5;
(,(,3,4;
(,(,4,6;
(,(,7,1;
(,(,8,8;
(,(,9,2;
(,(,c,2;
(,(,e,7;
(,(,i,9;
(,(,n,2;
(,), ,83;
(,),(,2;
(,),=,1;
(,),d,1;
(,,, ,143;
(,,,1,1;
(,,,2,2;
(,,,4,2;
(,,,5,1;
(,,,6,2;
(,,,7,2;
(,,,9,2;
(,-, ,4;
(,-,1,1;
(,-,2,1;
(,-,a,6;
(,-,b,15;
(,-,c,11;
(,-,d,3;
(,-,e,1;
(,-,f,1;
(,-,g,4;
(,-,i,2;
(,-,k,1;
(,-,l,4;
(,-,m,1;
(,-,o,15;
(,-,p,9;
(,-,s,21;
(,-,t,3;
(,-,v,1;
(,., ,69;
(,.,(,2;
(,.,,,1;
(,.,:,1;
(,.,=,29;
(,.,a,1;
(,.,b,3;
(,.,d,24;
(,.,e,1;
(,.,i,1;
(,/,f,1;
(,0, ,7;
(,0,),12;
(,0,,,1;
(,0,-,2;
(,0,.,5;
(,0,0,16;
(,0,1,12;
(,0,2,3;
(,0,3,5;
(,0,4,3;
(,0,5,2;
(,0,6,3;
(,0,7,1;
(,0,8,2;
(,0,9,6;
(,1, ,7;
(,1,),9;
(,1,,,1;
(,1,.,5;
(,1,0,6;
(,1,1,5;
(,1,2,7;
(,1,3,13;
(,1,4,11;
(,1,5,10;
(,1,6,6;
(,1,7,6;
(,1,8,8;
(,1,9,48;
(,2, ,7;
(,2,),9;
(,2,,,1;
(,2,.,8;
